127.0.0.1 - - [22/May/2025:02:44:21 +0530] "GET /cargocpc/index.html HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:01 +0530] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:01 +0530] "GET /favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:24 +0530] "GET /cart-management HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:27 +0530] "GET /cart-management/ HTTP/1.1" 200 11396
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:47 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:49 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9993
0:0:0:0:0:0:0:1 - - [22/May/2025:02:45:49 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:46:03 +0530] "GET /cart-management/restaurants HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [22/May/2025:02:46:29 +0530] "GET /cart-management/order/checkout HTTP/1.1" 200 5902
0:0:0:0:0:0:0:1 - - [22/May/2025:02:47:54 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:47:54 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9981
0:0:0:0:0:0:0:1 - - [22/May/2025:02:47:54 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:00 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:00 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9993
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:00 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:02 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:02 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9981
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:02 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:03 +0530] "POST /cart-management/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:03 +0530] "GET /cart-management/cart/view HTTP/1.1" 200 9982
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:03 +0530] "GET /cart-management/https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1014&q=80 HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [22/May/2025:02:48:08 +0530] "GET /cart-management/cart/remove/1957942716 HTTP/1.1" 302 -
